Name,Age,Gender,Date of Birth,Grade / Class,Section,Roll Number,Contact Number,Email Address
Michael Hanna,17,Female,2003-03-15,10th,C,1014,5138006521,kwilliams@jackson.com
Robert Olson Jr.,20,Female,2009-05-14,12th,B,1233,3262574295,jtaylor@gmail.com
Shawn Garrett,22,Male,2002-11-10,10th,B,1225,0764957289,meredith96@yahoo.com
Christopher Erickson,19,Male,2007-11-28,11th,A,1094,2247605683,anthonywest@hotmail.com
Michael Walker,18,Female,2005-02-24,10th,B,1287,9852687223,pvaldez@yahoo.com
Rebecca King,22,Female,2007-11-23,12th,B,1256,8716383664,kmorgan@day.com
Michael Peterson,16,Female,2002-11-15,11th,A,1165,2240008378,huffmanmartin@hotmail.com
Sally Powell,16,Male,2005-08-18,11th,D,1222,6990339484,karenmoore@yahoo.com
David Alvarado,16,Male,2007-01-29,10th,D,1279,5817088280,fporter@williams.biz
Destiny Stout,18,Male,2006-05-23,11th,B,1094,7891953722,lbutler@gmail.com
Jeffrey Ballard,16,Male,2007-05-12,11th,B,1262,3171125321,cgeorge@hotmail.com
Tiffany Rodriguez,21,Female,2008-05-24,12th,A,1006,2032550629,fmarquez@miller.biz
Diane Rogers,17,Female,2003-07-07,12th,A,1109,5496948968,ebailey@hall.biz
Melissa Wilkins,18,Male,2008-08-25,10th,D,1275,3771888377,baileycynthia@yahoo.com
Jennifer Dixon,20,Female,2004-04-24,11th,B,1165,8125905982,hayescynthia@collins.org
Pamela Davies,17,Male,2003-04-06,11th,C,1265,8668668072,aaronallen@hotmail.com
Carlos Reed,20,Female,2008-12-18,11th,C,1047,1445586065,ortizsandra@yahoo.com
Mary Bernard,16,Female,2003-12-15,11th,C,1068,9953237774,brian80@hotmail.com
Matthew Rodriguez,20,Male,2008-07-30,10th,A,1035,3394359719,jennifer01@gmail.com
Laura Campbell,18,Female,2005-08-18,10th,C,1252,5486025176,penningtonlisa@wong-harris.biz
Shannon Cole,16,Female,2003-02-16,12th,A,1119,2377274296,daniellereese@hotmail.com
Courtney Williams,16,Male,2008-11-15,11th,A,1101,1778536442,rsmith@hotmail.com
Robert Martinez,20,Male,2002-10-10,10th,D,1085,5263837312,diazdebra@hotmail.com
Jesse Deleon,17,Male,2008-02-22,12th,C,1281,8854173085,kpugh@gmail.com
Jillian Williams,21,Male,2004-10-09,10th,A,1162,9853326660,kirk85@yahoo.com
Amanda Barnett,16,Female,2005-11-24,11th,A,1281,9331627026,raydavis@melendez-johnson.info
Stephen Riley,20,Male,2006-06-25,12th,D,1080,3380810669,johnsmith@ruiz-greer.net
Samantha Simon,16,Female,2006-09-24,12th,C,1279,4315800982,gomeznatalie@ball-sexton.com
Charles Rose,21,Female,2003-07-17,12th,C,1189,9312544128,ashley53@gmail.com
Tristan Garcia,17,Female,2009-01-23,10th,A,1160,5130538988,millerjennifer@brooks.com
Emily Gentry,20,Male,2008-05-30,10th,B,1069,0670780133,luis27@gmail.com
Keith Jacobs,21,Male,2004-02-27,12th,B,1176,5278160427,melaniejones@yahoo.com
Dale Briggs,17,Male,2002-06-28,11th,C,1123,3776288773,lisanichols@gmail.com
Joshua Nolan,21,Male,2002-12-28,11th,A,1294,8228267262,pollardregina@miller.info
Timothy Lewis,19,Male,2002-11-02,12th,C,1232,2941806131,johnmason@yahoo.com
Jeffrey Johnson,22,Male,2008-01-19,10th,C,1296,3945951970,justinwest@cannon.com
Crystal Parker,21,Female,2005-03-19,10th,C,1151,7175191414,sarah55@fuller.com
Chloe Nichols,21,Female,2008-05-07,12th,C,1062,4669871582,michaeljackson@yahoo.com
Eric Nguyen,19,Male,2002-09-09,12th,D,1194,9207866105,julienichols@gmail.com
Michael Shelton,20,Male,2008-12-08,11th,A,1160,1393344926,qwalker@smith-rodriguez.com
Michael Thomas,18,Female,2007-07-16,10th,C,1010,3821694083,scottwalton@yahoo.com
Reginald Braun,21,Female,2006-10-23,12th,B,1116,0143210294,millerbryan@stephens.info
Vanessa Cox,18,Female,2007-10-08,12th,D,1096,4410305535,jennifer27@maldonado.biz
Kyle Kennedy,20,Female,2007-04-06,11th,C,1263,0819137750,campbellbrandon@bowers.net
Suzanne Parker,17,Female,2005-08-16,11th,B,1154,6845734020,fordjeffrey@gmail.com
Theresa Smith,20,Male,2006-11-14,10th,D,1006,7372444221,nathan82@gmail.com
Anna Moore,19,Male,2002-08-25,10th,A,1132,3223200330,cynthia64@hurley.com
Jason Fuentes,22,Female,2007-01-22,11th,D,1001,8984143607,debra24@bradley.info
Gwendolyn Mclaughlin,17,Female,2002-11-24,11th,C,1184,0548527408,moralesmelissa@gmail.com
Michelle Gibson,22,Female,2005-07-09,12th,A,1103,8415702836,ghouse@williams.com
Lauren Wilson,21,Female,2006-03-22,12th,D,1190,6187295546,melanie00@yahoo.com
Robert Brown,21,Male,2008-10-23,10th,C,1018,0792307719,myersjames@medina.org
Oscar Estrada,19,Female,2003-08-16,11th,D,1134,9896544384,patelnancy@sandoval-watkins.info
Cody Mullins,16,Female,2006-09-30,11th,C,1161,0654423290,ncline@keller.org
Terry Hays,22,Female,2003-06-02,12th,B,1164,8157034104,matthew27@hotmail.com
Monica Mitchell,20,Male,2008-08-04,10th,C,1138,4863298998,nicole08@yahoo.com
Taylor Smith,21,Male,2006-12-28,11th,D,1020,6909767122,gwilson@hudson.info
Andrea Watts,19,Male,2003-01-16,12th,D,1297,9584739261,theresaconway@knapp.biz
Philip Erickson,21,Male,2005-08-30,11th,B,1075,5932770386,devon95@schmidt-morris.org
Steven Moore,18,Female,2007-02-03,10th,C,1024,2343655947,cholden@harmon.biz
Joshua Lee,19,Female,2006-03-01,10th,C,1175,3627924688,brett13@robinson.net
Casey Jackson,21,Female,2008-07-26,12th,C,1136,6939523443,maurice97@hotmail.com
Mary Ellis,16,Male,2007-09-07,12th,D,1107,6989068084,alexandersmith@gmail.com
Shane Horn,20,Female,2005-10-29,12th,A,1115,5512685617,lisa65@yahoo.com
James Foster,21,Female,2006-05-29,11th,A,1029,1613365705,fblevins@hotmail.com
Robert Mayer,22,Female,2004-10-18,11th,B,1130,0472181237,keithmcdonald@gmail.com
Andrew Howell,16,Male,2004-01-20,10th,D,1067,2459025299,zlopez@hotmail.com
Amber Smith,21,Female,2005-05-31,11th,A,1179,3745474586,dwinters@gmail.com
Madeline Walker,21,Male,2005-05-17,11th,D,1060,1189857378,mhooper@campbell.net
Keith Henson,16,Male,2006-12-21,12th,A,1088,9605339271,shieldsmarc@hughes.com
Fernando Cervantes,22,Male,2003-03-12,11th,A,1019,2568619068,christopherroberts@gmail.com
Dale Wells,19,Female,2007-12-16,12th,B,1202,1211506767,rossdebbie@sanchez.info
Sara Hicks,21,Male,2004-01-16,11th,B,1028,4490806955,joseph25@gmail.com
Emily Phillips,20,Male,2004-06-19,10th,A,1244,7840067961,katie86@ramirez.info
Karen Warren,18,Female,2009-02-12,11th,C,1087,3419705706,rperez@silva-adams.org
Rhonda Martin,19,Female,2004-03-07,11th,A,1012,5694277057,nathanjones@yahoo.com
Daniel Brown,22,Female,2005-09-21,12th,A,1078,8482606745,lmccall@cervantes-terry.com
Daniel Cook,20,Female,2008-09-14,12th,C,1281,3031278136,jennifer16@hotmail.com
Bryan Holloway,17,Female,2004-12-12,10th,D,1189,9131791577,qbradley@cole.com
Patricia Floyd,16,Male,2007-12-28,11th,D,1033,2006065068,chrishouston@yahoo.com
James Carney,18,Male,2007-05-28,12th,D,1151,5283227870,rmanning@lopez.com
Tammy Morrow,22,Female,2006-07-18,12th,C,1225,7780223455,adam67@burgess.com
Ricky Smith,19,Male,2003-10-16,12th,A,1181,3795535080,amy61@watson.com
John Alvarez,19,Male,2007-06-17,11th,A,1073,1523280174,nicholas00@warren.com
Christopher Medina,20,Female,2003-03-17,10th,B,1115,7719733409,fuentesmeagan@hernandez-adams.com
Jessica Sims,22,Female,2008-09-01,10th,C,1189,7616565431,joannaquinn@yahoo.com
Robert Ingram,18,Male,2004-12-04,12th,B,1218,0266400610,cbennett@lambert.com
Jeremy Williams,17,Male,2008-08-09,11th,B,1106,8249011962,thomasfletcher@anderson-simmons.com
Robert Cummings,19,Male,2008-05-06,11th,C,1279,7188970467,shawnfigueroa@stephens-smith.com
Joseph York,17,Female,2004-03-02,11th,D,1140,0559705493,jennifercross@gmail.com
Robert Francis,16,Female,2007-03-06,11th,B,1131,4724978183,moconnor@obrien.biz
Haley Allen,18,Female,2004-04-15,12th,D,1159,6269808081,tsandoval@gmail.com
Mrs. Sandra Scott,17,Female,2003-08-28,11th,D,1006,4612524363,john46@gmail.com
Paul Hatfield,18,Female,2009-05-24,10th,A,1024,9875857654,guy53@yahoo.com
Brandon Chavez MD,17,Female,2008-10-03,12th,A,1170,6821389874,tgreene@gmail.com
Gary Clark DVM,20,Female,2006-02-06,11th,A,1247,2979168159,obranch@gmail.com
Justin Santos,17,Female,2007-09-20,11th,C,1125,2836917340,robertofowler@yahoo.com
Diane Bautista,16,Male,2007-02-22,12th,A,1015,8182335077,ericalynch@hurst.biz
Angela Johnson,17,Male,2004-02-05,12th,D,1258,2269272312,zsoto@salazar.com
Joel Bell,19,Female,2003-07-17,12th,B,1167,8703673893,mhoover@yahoo.com
